Ordem;Tipo de ordem;Código ABC;EQUIPE;Data-base iníc.;Loc.instalação;Denominação;Texto breve;Número;TOTAL HH;Status
7158595;ZM03;;EQUIPE 4;03/08/2024;1301-INDL-ZOOA-MISTURA03;TP CORREIA ENS TC-55309M PAYPER M3;PREVENTIVA TP CORREIA ENS TC-553;2;8;0
7158596;ZM03;;EQUIPE 4;03/08/2024;1301-INDL-ZOOA-MISTURA03;TP CORREIA INCL ENS TC-55309O PAYPER M3;PREVENTIVA TP CORREIA INCL ENS TC-55309O;2;8;0
7158597;ZM03;;EQUIPE 4;03/08/2024;1301-INDL-ZOOA-MISTURA03;TP CORREIA CURVA TC-55309R PAYPER M3;PREVENTIVA TP CORREIA CURVA TC-55309R;2;8;0
7163466;ZM01;B;EQUIPE 1;03/08/2024;1301-INDL-PREX-ARMAZENAGE;ARMAZENAGEM PREMIX;TROCA DA ROSCA DOSAGEM SILO 8 ENXOFRE;2;16;0
7140635;ZM03;C;EQUIPE 3;03/08/2024;1301-INDL-ZOOA-MISTURA03;ROSCA TRANSP 101 SILO 101 ELEV 01 MIST 3;PREVENTIVA MECANICA ROSCA DOSADOR 101 M3;2;16;0
7140621;ZM03;C;EQUIPE 3;03/08/2024;1301-INDL-ZOOA-MISTURA03;ROSCA TRANSP 102 SILO 102 SAL MIST 03;PREVENTIVA MECANICA ROSCA DOSADOR 102 M3;2;16;0
7140623;ZM03;C;EQUIPE 3;03/08/2024;1301-INDL-ZOOA-MISTURA03;ROSCA TRANSP 103 SILO 103 FILITO MIST 03;PREVENTIVA MECANICA ROSCA DOSADOR 103 M3;2;16;0
7140625;ZM03;C;EQUIPE 3;03/08/2024;1301-INDL-ZOOA-MISTURA03;ROSCA TRANSP 104 SILO 104 ELEV 01 MIST 3;PREVENTIVA MECANICA ROSCA DOSADOR 104 M3;2;16;0
7140627;ZM03;C;EQUIPE 3;03/08/2024;1301-INDL-ZOOA-MISTURA03;ROSCA TRANSP 105 SILO 105 CALCITA MIST 3;PREVENTIVA MECANICA ROSCA DOSADOR 105 M3;2;16;0
7168817;ZM03;C;EQUIPE 2;03/08/2024;1301-INDL-ZOOA-MISTURA03;ROSCA SAIDA MOEGA BALANCA 02 MISTURA 03;ROSCA DA BALAN�A 2;2;16;0
7163919;ZM03;B;EQUIPE 5;04/08/2024;1301-INDL-ZOOA-MISTURA03;ELEVADOR CANECAS 02 MISTURA 03 ZOOTECN;4M-PREV MECANICA ELEVADOR CANECA 2 M3;2;16;0
7165323;ZM03;C;EQUIPE 3;04/08/2024;1301-INDL-ZOOA-MISTURA03;VALVULA ENTRA SILO 103 FILITO LINHA 7 M3;PREVENTIVA MECANICA VALVULA ENTRADA SILO;2;4;0
7165324;ZM03;C;EQUIPE 3;04/08/2024;1301-INDL-ZOOA-MISTURA03;VALVULA ENTRA SILO 103 FILITO LINHA 8 M3;PREVENTIVA MECANICA VALVULA ENTRADA SILO;2;4;0
7155691;ZM03;A;EQUIPE 2;04/08/2024;1301-INDL-ZOOA-MISTURA03;MISTURADOR FORBERG MISTURA 03 ZOOTECNICA;4M-PREV MEC MISTURADOR FORBER M3;2;16;0
7158598;ZM03;;EQUIPE 4;04/08/2024;1301-INDL-ZOOA-MISTURA03;TP CORREIA CADENC 1 TC-55309S PAYPER M3;PREVENTIVA TP CORREIA CADENC 1 TC-55309S;2;8;0
